timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:20.587, 80.78 W, 100 %
2026/05/28 02:55:20.690, 80.69 W, 100 %
2026/05/28 02:55:20.793, 80.69 W, 100 %
2026/05/28 02:55:20.900, 80.78 W, 100 %
2026/05/28 02:55:21.007, 80.90 W, 100 %
2026/05/28 02:55:21.111, 80.88 W, 100 %
2026/05/28 02:55:21.214, 80.88 W, 100 %
2026/05/28 02:55:21.321, 80.79 W, 100 %
2026/05/28 02:55:21.429, 81.07 W, 100 %
2026/05/28 02:55:21.533, 80.88 W, 100 %
2026/05/28 02:55:21.642, 80.89 W, 100 %
2026/05/28 02:55:21.750, 80.97 W, 100 %
2026/05/28 02:55:21.853, 80.69 W, 100 %
2026/05/28 02:55:21.956, 80.88 W, 100 %
2026/05/28 02:55:22.063, 80.69 W, 100 %
2026/05/28 02:55:22.166, 80.89 W, 100 %
2026/05/28 02:55:22.269, 80.79 W, 100 %
2026/05/28 02:55:22.372, 80.78 W, 100 %
2026/05/28 02:55:22.475, 80.78 W, 100 %
2026/05/28 02:55:22.583, 80.79 W, 100 %
2026/05/28 02:55:22.691, 80.88 W, 100 %
2026/05/28 02:55:22.794, 80.97 W, 100 %
2026/05/28 02:55:22.898, 80.60 W, 100 %
2026/05/28 02:55:23.004, 80.97 W, 100 %
2026/05/28 02:55:23.112, 80.90 W, 100 %
2026/05/28 02:55:23.215, 80.97 W, 100 %
2026/05/28 02:55:23.319, 80.69 W, 100 %
2026/05/28 02:55:23.425, 80.78 W, 100 %
2026/05/28 02:55:23.529, 80.89 W, 100 %
2026/05/28 02:55:23.632, 80.97 W, 100 %
2026/05/28 02:55:23.735, 80.79 W, 100 %
2026/05/28 02:55:23.839, 81.08 W, 100 %
2026/05/28 02:55:23.947, 80.89 W, 100 %
2026/05/28 02:55:24.050, 80.88 W, 100 %
2026/05/28 02:55:24.155, 80.79 W, 100 %
2026/05/28 02:55:24.258, 81.00 W, 100 %
2026/05/28 02:55:24.361, 80.89 W, 100 %
2026/05/28 02:55:24.468, 80.88 W, 100 %
2026/05/28 02:55:24.575, 81.07 W, 100 %
2026/05/28 02:55:24.679, 81.17 W, 100 %
2026/05/28 02:55:24.782, 80.97 W, 100 %
2026/05/28 02:55:24.889, 80.88 W, 100 %
2026/05/28 02:55:24.992, 80.88 W, 100 %
2026/05/28 02:55:25.097, 80.97 W, 100 %
2026/05/28 02:55:25.200, 80.97 W, 100 %
2026/05/28 02:55:25.303, 80.78 W, 100 %
2026/05/28 02:55:25.410, 80.97 W, 100 %
2026/05/28 02:55:25.517, 81.07 W, 100 %
2026/05/28 02:55:25.620, 80.89 W, 100 %
2026/05/28 02:55:25.724, 80.79 W, 100 %
2026/05/28 02:55:25.830, 80.97 W, 100 %
2026/05/28 02:55:25.939, 81.07 W, 100 %
2026/05/28 02:55:26.043, 80.97 W, 100 %
2026/05/28 02:55:26.152, 38.16 W, 80 %
2026/05/28 02:55:26.259, 37.10 W, 80 %
2026/05/28 02:55:26.362, 37.20 W, 0 %
2026/05/28 02:55:26.466, 37.20 W, 0 %
2026/05/28 02:55:26.572, 37.01 W, 0 %
2026/05/28 02:55:26.675, 110.21 W, 20 %
2026/05/28 02:55:26.780, 112.23 W, 20 %
2026/05/28 02:55:26.883, 112.89 W, 99 %
2026/05/28 02:55:26.986, 112.98 W, 100 %
2026/05/28 02:55:27.094, 112.79 W, 100 %
2026/05/28 02:55:27.201, 112.50 W, 100 %
2026/05/28 02:55:27.304, 113.08 W, 100 %
2026/05/28 02:55:27.408, 113.27 W, 100 %
